Date,12/14/2018,Time,13:35:22,,"L.A. LUCKY IMPORT EXPORT, INC.",,,PDF Generated Report,Page,0001
,,,,I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770195,Invoice date:,11/01/18,Customer: LD,,L.D. FOODS CORP,Sales rep:,5
Order,#:,99697,Order date:,10/31/18,,,2436 MARIONDALE AVE
,,,,,,Telephone:,323-223-3068
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,,Qty-shipped,,Unit price,,Lin-disc%,Ext-price,Gross-margin
10,COF109AA,TRUNG NGUYEN COFEE,*100ST,60,CTNS,40.75,/CTNS,0.000,2445.00,435.00
20,FD150,COCO RICO COCONUT SODA,,300,CTNS,8.75,/CTNS,0.000,2625.00,315.00
30,DD155,MIKKO BOT BANH BAO MJ-535,,4,CTNS,48.00,/CTNS,0.000,192.00,32.20
,,,,,,,Invoice totals:,,5262.00,782.20

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0002
,,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770196,Invoice date:,,11/01/18,,Customer: H016,,HIEP THANH,,,Sales rep:,5
Order,#:,99685,Order date:,,10/31/18,,,,822 N.WATERMAN
,,,,,,,Telephone:,,909-884-4800
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FR116F,,OF CA BAC MA,,2-3pcs,,4,CTNS,,58.50,/CTNS,0.000,234.00,70.32
20,FR240A,,,OF COOKED WHOLE CLAM,,,2,CTNS,,34.00,/CTNS,0.000,68.00,24.40
30,FR176,,OF SO HUYET COOKED,,,,2,CTNS,,72.00,/CTNS,0.000,144.00,41.44
40,FR109,,,BOAT CHA CA THAC LAC,,,1,CTNS,,99.00,/CTNS,0.000,99.00,11.88
50,FR322,,,WEI-C EGG ROLL SHELL,,,2,CTNS,,39.00,/CTNS,0.000,78.00,10.00
60,FR154A,,OF MUDFISH STEAK,,,2LB,1,CTNS,,90.00,/CTNS,0.000,90.00,12.82
70,FR710A,,,FR. COOK UNPEEL CORN,,2 PC,5,CTNS,,32.00,/CTNS,0.000,160.00,46.00
80,FR901,,,FR. THAI CORN BLACK,,,3,CTNS,,40.00,/CTNS,0.000,120.00,12.00
90,FR270,,,FR. DURIAN MONTHONG whole,,,3,CTNS,,81.84,/CTNS,0.000,245.52,129.54
100,FR902,,,SHIRO MISO SOYBEAN PASTE,,,1,CTNS,,31.00,/CTNS,0.000,31.00,3.00
110,FR903,,,SHIRO MISO SOYBAEN PASTE,,,1,CTNS,,31.00,/CTNS,0.000,31.00,3.00
120,TL111,,,TL BOT BANH XEO prepared,,,4,CTNS,,32.00,/CTNS,0.000,128.00,12.00
130,TL107,,,TL BOT TOM & CHUOI CHIEN,,,2,CTNS,,31.00,/CTNS,0.000,62.00,6.00
140,TL100,,,TL BOT BANH BAO steamed,,,1,CTNS,,38.50,/CTNS,0.000,38.50,3.50
150,TL101,,,TL BOT BANH BEO steam,,,1,CTNS,,36.00,/CTNS,0.000,36.00,4.00
170,FD105A,,FOCO COCONUT JUICE,,,17.6oz,5,CTNS,,19.00,/CTNS,0.000,95.00,25.00
175,CRV002,,CRV,/,24 BIMETAL CANNED,,5,CTNS,,1.20,/CTNS,0.000,6.00,6.00
180,FD146,,,CHIN-C BASIL SEED DRINK,,,10,CTNS,,14.00,/CTNS,0.000,140.00,13.00
190,CD142,,,CHIN-C GRASS JELLY BANANA,,,10,CTNS,,10.70,/CTNS,0.000,107.00,10.00
195,CRV001,,CRV,,/ ALUMINUM CANNED,,25,CTNS,,1.20,/CTNS,0.000,30.00,30.00
200,CD149,,,CHIN-C GRASS JELLY LYCHEE,,,5,CTNS,,10.70,/CTNS,0.000,53.50,5.00
201,FD103,,CHIN-C MANGO DRINK,,,,5,CTNS,,14.00,/CTNS,0.000,70.00,8.00
202,CRV002,,CRV,/,24 BIMETAL CANNED,,5,CTNS,,1.20,/CTNS,0.000,6.00,6.00
210,ED106,,,VITALITY BOOST DRINK,,,5,CTNS,,14.00,/CTNS,0.000,70.00,8.00
215,CRV001,,CRV,,/ ALUMINUM CANNED,,5,CTNS,,1.20,/CTNS,0.000,6.00,6.00
220,ED140,,HALE'S BLUE BOY,,,*RED*,5,CTNS,,26.00,/CTNS,0.000,130.00,20.00
230,ED141,,HALE'S BLUE BOY,,,*GREEN*,3,CTNS,,26.00,/CTNS,0.000,78.00,18.00
